SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
pixel                                                            degrees degrees   pixel  pixel   pixel  pixel                              pixel**1/4                                                                                                                                                                                             pixel

    14.64      0.237    0.00305    0.0332    0.0235 0.5539    0.0261  -31.98    1.98  286.01   0.28  171.83   0.36    -0.01    0.003      0.295    1.95611    1.57   0.0141   0.0139         127.       202.89   -5.26   -5.77    299    673    0.0283   0.028    0.0934  0.0381   -0.0385  0.0284    0.0144  0.0262    59     0    50     2   0.00399   2.0
    16.11      0.233      0.003    0.0332    0.0235 0.5939    0.0239  -33.87    1.74  286.34   0.31  172.33   0.39 -0.00901   0.0026      0.288    2.00328    1.58   0.0141   0.0139       134.44        230.6   -5.32   -5.91    331    805    0.0133  0.0262     0.113  0.0412    -0.051  0.0289  -7.61E-4  0.0248    61     0    11     0   4.82E-4   2.0
    17.72      0.222    0.00306    0.0349    0.0247 0.6116    0.0186  -36.36    1.34  286.40   0.28  172.39   0.34  -0.0102   0.0024       0.24    2.05158    1.63   0.0151   0.0149       145.35       265.83   -5.41   -6.06    379    981  -0.00297  0.0216      0.09  0.0303   -0.0292   0.022   -0.0239  0.0216    65     0    10     0   1.65E-4   2.0
    19.49      0.204    0.00286     0.035    0.0247 0.5860    0.0174  -38.59    1.29  285.81   0.29  172.02   0.32  -0.0098   0.0023      0.238    2.10105    1.73   0.0153   0.0151        169.2       304.33   -5.57   -6.21    491   1201  -0.00252  0.0207    0.0529  0.0238   0.00753  0.0181   -0.0824  0.0266    75     0    10     0   0.00108   2.0
    21.44      0.179    0.00216    0.0335    0.0237 0.1944    0.0172   33.53    2.80  286.13   0.20  172.77   0.21  -0.0136   0.0022      0.159    2.15172    1.87   0.0132    0.013       300.59       341.41   -6.19   -6.33   1165   1449   -0.0119  0.0106     -0.01  0.0106    0.0364 0.00981    0.0641  0.0129   120     0    22     0   7.07E-4   2.0
    23.58      0.172    0.00167    0.0266    0.0188 0.2503    0.0095   23.71    1.24  286.22   0.12  171.63   0.14  -0.0161   0.0016     0.0978    2.20360    1.91   0.0106   0.0105       326.23       381.32   -6.28   -6.45   1311   1749  -0.00226 0.00625   0.00302 0.00628    0.0297 0.00618    0.0162 0.00571   127     0    18     0    0.0012   2.0
    25.94      0.135    0.00207    0.0346    0.0244 0.2503    0.0133   21.48    1.75  286.22   0.19  171.63   0.22 -0.00971   0.0014      0.149    2.25674    2.17   0.0167   0.0165       368.89       420.49   -6.42   -6.56   1591   2093    0.0205 0.00834    0.0452  0.0103   -0.0019  0.0077    0.0115  0.0079   140     0    50     2    0.0196   2.0
    28.53       0.11    0.00186    0.0326    0.0231 0.2503    0.0190   20.49    2.50  286.22   0.29  171.63   0.34 -0.00542   0.0014      0.249    2.31116     2.4   0.0185   0.0182        408.6       466.41   -6.53   -6.67   1917   2561    0.0439  0.0158    0.0498  0.0169   -0.0237  0.0127   3.37E-4  0.0113   154     0    50     2    0.0187   2.0
    31.38       0.11    0.00158    0.0278    0.0196 0.3596    0.0143    7.65    1.40  286.27   0.24  171.26   0.33 -0.00642   8.6E-4      0.134    2.36689    2.39   0.0157   0.0154       419.33       508.68   -6.56   -6.77   1991   3093    0.0478  0.0122    0.0133  0.0105   -0.0141  0.0104     0.018  0.0105   155     0    22     0   0.00128   2.0
    34.52     0.0951    0.00124    0.0228    0.0161 0.3596    0.0101    0.17    0.99  286.96   0.18  172.52   0.26 -0.00647   7.7E-4      0.119    2.42396    2.55   0.0142    0.014       461.54       548.87   -6.66   -6.85   2393   3745   0.00639 0.00767   -0.0217  0.0081   -0.0381  0.0083    0.0145 0.00721   170     0    12     0   0.00109   2.0
    37.97     0.0683      0.001    0.0201    0.0142 0.2768    0.0112    9.57    1.35  285.30   0.22  173.16   0.28 -0.00488   5.3E-4      0.109    2.48241    2.91   0.0161   0.0158       530.98       584.42   -6.81   -6.92   3279   4509   0.00633 0.00763   -0.0152 0.00779  -0.00678 0.00736   -0.0277 0.00794   201     0    11     0   4.71E-4   2.0
    41.77     0.0561    7.82E-4    0.0162    0.0114 0.3143    0.0098    9.57    1.07  285.30   0.22  173.16   0.29 -0.00366   5.6E-4      0.152    2.54228    3.13   0.0152    0.015       561.55       622.98   -6.87   -6.99   3765   5473   -0.0161 0.00745   0.00288 0.00708   0.00848 0.00712  -0.00418 0.00707   214     0    50     2    0.0027   2.0
    45.95     0.0432    9.96E-4    0.0214    0.0151 0.3380    0.0158    9.57    1.62  285.30   0.39  173.16   0.52 -0.00258   4.4E-4      0.171    2.60358    3.41   0.0253   0.0247       590.92       659.54   -6.93   -7.05   4383   6613   -0.0333  0.0129   -0.0189  0.0121   -0.0316  0.0125    -0.028  0.0123   231     0    50     2   0.00126   2.0
    50.54     0.0211    6.61E-4    0.0162    0.0115 0.0941    0.0184  -18.78    5.85  286.24   0.47  172.41   0.50 -0.00182   2.9E-4      0.157    2.66636    4.19   0.0346   0.0335       678.27       690.57   -7.08    -7.1   7275   8029   -0.0324  0.0111   -0.0165  0.0102   -0.0642  0.0135    0.0181 0.00953   301     0    50     2   0.00152   2.0
    55.60     0.0109    5.93E-4    0.0152    0.0108 0.0993    0.0432  -18.78   13.07  285.16   1.22  172.78   1.31 -6.32E-4   2.5E-4       0.39    2.73066    4.91   0.0609   0.0577       701.64       710.41   -7.12   -7.13   8751   9721   -0.0354  0.0273    0.0497  0.0306   -0.0221  0.0251  -0.00233  0.0236   330     0    50     2   8.84E-4   2.0
    61.16    0.00714    5.52E-4    0.0149    0.0105 0.0993    0.0630  -40.63   19.07  288.46   2.02  171.66   2.04 -3.66E-4   1.2E-4      0.334    2.79650    5.37   0.0873   0.0808       717.91       725.44   -7.14   -7.15  10575  11761   -0.0149  0.0349    0.0605  0.0402    -0.028  0.0358   -0.0286   0.036   363     0    50     2   8.35E-4   2.0
    67.28    0.00376    4.87E-4    0.0141   0.00996 0.0101    0.0534  -145.7  152.20  290.44   1.80  168.71   1.81 -3.81E-4    INDEF      INDEF    2.86394    6.06    0.151    0.132       737.39       737.45   -7.17   -7.17  14077  14249    0.0436  0.0439    0.0122  0.0285  -0.00654  0.0272  -0.00508  0.0271   419     0    30     0   4.91E-4   2.0
